Id,SalePrice
1461,117291.01814725433
1462,152279.81678032462
1463,182939.48955707415
1464,197656.63691998087
1465,198157.99534550938
1466,171265.1290839532
1467,180303.25716440898
1468,161567.03016528214
1469,189996.93458646952
1470,119873.50159023941
1471,195161.79415100906
1472,96330.6539081135
1473,93810.93817907377
1474,144476.52262378897
1475,107984.75258139444
1476,357405.40031852364
1477,243470.93408532685
1478,287512.20096236805
1479,292373.6574135392
1480,464977.6797124045
1481,314671.00402594014
1482,210215.54475282834
1483,180761.35488327578
1484,158876.25811641256
1485,193088.40687868051
1486,197496.6005713614
1487,330712.8132224099
1488,234354.5600849957
1489,191134.04388564578
1490,249024.4031333689
1491,197130.13252400412
1492,93426.86541074909
1493,181017.14237205955
1494,296390.89921576536
1495,289152.5396642629
1496,240582.29000682133
1497,176405.7268329598
1498,169406.60900397052
1499,161002.5498504525
1500,157036.73375316866
1501,174621.63250675314
1502,145068.99264710207
1503,283623.0641549452
1504,240579.3463191864
1505,228403.39453652652
1506,189806.11505069665
1507,248575.8047380973
1508,199978.94988271105
1509,160421.57303134276
1510,143296.2420943542
1511,156907.50699996162
1512,180739.1462526451
1513,146699.58123117423
1514,153879.56770459667
1515,203913.71973351605
1516,153832.91863468755
1517,162319.06137450988
1518,131311.71077707957
1519,208046.57766824967
1520,126506.32637387128
1521,132061.23735129987
1522,181960.61944572907
1523,109741.07878806448
1524,127262.08531602143
1525,120969.09045616451
1526,110163.85525676652
1527,105024.83252167652
1528,139241.69239314366
1529,148846.01105619484
1530,181534.3961993483
1531,107412.24685718062
1532,98749.85471749968
1533,146400.56032163478
1534,130323.74162397598
1535,151488.43643650098
1536,106460.62363874972
1537,57571.17488686365
1538,140604.41046677568
1539,187118.08442249228
1540,97223.39778850586
1541,142333.32791020605
1542,142677.00633333792
1543,185183.0722491889
1544,89114.70373595836
1545,114876.08251476577
1546,136885.14213715435
1547,133010.30631936653
1548,139322.42702860374
1549,122216.16765668531
1550,133951.53112218034
1551,111421.65918830791
1552,136384.64989201297
1553,147029.1251979022
1554,114719.15873325226
1555,158632.43484726895
1556,88967.29557495938
1557,111616.0368610131
1558,103542.89399767084
1559,55127.50926645759
1560,137705.6057188235
1561,126788.29039656551
1562,128808.59560033372
1563,117676.02316026499
1564,162334.24324726075
1565,150469.27171557705
1566,235024.11871352833
1567,79404.96337511421
1568,239767.02947612302
1569,126020.34728465739
1570,134881.50049764517
1571,116167.1953543922
1572,142026.70188479862
1573,228170.00057102888
1574,119147.02710032878
1575,225300.1226567159
1576,252264.961330242
1577,176944.13052180907
1578,149764.01858552554
1579,149079.3159098449
1580,194166.7300755466
